date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2023-07-03,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2023-07-05,10000.0,-10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0
2023-07-06,10000.0,-9924.41884194548,9889.784104009288,9965.365262063808,0.0,0.0,0.0,0.0
2023-07-07,10000.0,-9818.583702600854,9933.669823146905,10115.086120546051,0.0,0.0,0.0,0.0
2023-07-10,10000.0,-9829.534843752897,9959.71231909092,10130.177475338023,0.0,0.0,0.0,0.0
2023-07-11,10000.0,-9875.700582457677,10097.854058941262,10222.153476483585,0.0,0.0,0.0,0.0
2023-07-12,10000.0,-9922.417746720566,10207.802040837083,10285.384294116517,0.0,0.0,0.0,0.0
2023-07-13,10000.0,-9949.03014066354,10288.149145240077,10339.119004576536,0.0,0.0,0.0,0.0
2023-07-14,10000.0,-9996.60379366661,10159.653514165813,10163.049720499203,0.0,0.0,0.0,0.0
2023-07-17,10000.0,-9933.082887653447,10184.402207275207,10251.31931962176,0.0,0.0,0.0,0.0
2023-07-18,10000.0,-9928.58932895704,10280.539464893849,10351.95013593681,0.0,0.0,0.0,0.0
2023-07-19,10000.0,-10011.040096811801,10301.239963436183,10290.199866624382,0.0,0.0,0.0,0.0
2023-07-20,10000.0,-10155.854419571027,10203.91542098592,10048.061001414893,0.0,0.0,0.0,0.0
2023-07-21,10000.0,-10252.41439976825,10199.227382008015,9946.812982239766,0.0,0.0,0.0,0.0
2023-07-24,10000.0,-10248.770207722824,10267.328859948488,10018.558652225664,0.0,0.0,0.0,0.0
2023-07-25,10000.0,-10252.355489068184,10335.558202822778,10083.202713754594,0.0,0.0,0.0,0.0
2023-07-26,6586.997508979466,-6813.848433743966,10315.329353340441,10088.478428575942,0.0,0.0,0.0,0.0
2023-07-27,6586.997508979466,-6723.431111151127,10253.881285487518,10117.447683315857,0.0,0.0,0.0,0.0
2023-07-28,6586.997508979466,-6750.775816426101,10331.505211462996,10167.726904016361,0.0,0.0,0.0,0.0
2023-07-31,6586.997508979466,-6736.640744753756,10414.501944048436,10264.858708274147,0.0,0.0,0.0,0.0
2023-08-01,6586.997508979466,-6677.333924799066,10413.459734487813,10323.123318668213,0.0,0.0,0.0,0.0
2023-08-02,9968.104756886358,-10070.502282328041,10245.719269162359,10143.321743720675,0.0,0.0,0.0,0.0
2023-08-03,9968.104756886358,-9968.672746192135,10246.823436921853,10246.255447616077,0.0,0.0,0.0,0.0
2023-08-04,9968.104756886358,-9885.77720429507,10186.043787010989,10268.371339602278,0.0,0.0,0.0,0.0
2023-08-07,9968.104756886358,-9951.264639385086,10239.944558751082,10256.784676252353,0.0,0.0,0.0,0.0
2023-08-08,9968.104756886358,-9968.21805235188,10216.91458084665,10216.801285381127,0.0,0.0,0.0,0.0
2023-08-09,6552.057206432578,-6563.07012518697,10217.873495126885,10206.860576372494,0.0,0.0,0.0,0.0
2023-08-10,6552.057206432578,-6546.371508330336,10208.71253547438,10214.398233576623,0.0,0.0,0.0,0.0
2023-08-11,6552.057206432578,-6569.228502195567,10246.250777359692,10229.079481596702,0.0,0.0,0.0,0.0
2023-08-14,6552.057206432578,-6527.205413915877,10283.238422191125,10308.090214707827,0.0,0.0,0.0,0.0
2023-08-15,6552.057206432578,-6439.479190733817,10131.996136999478,10244.574152698238,0.0,0.0,0.0,0.0
2023-08-16,6552.057206432578,-6445.882359309429,10051.482143586436,10157.656990709584,0.0,0.0,0.0,0.0
2023-08-17,6552.057206432578,-6407.167507801039,10036.375641062641,10181.265339694179,0.0,0.0,0.0,0.0
2023-08-18,6552.057206432578,-6435.725318082992,10083.14151564901,10199.473403998596,0.0,0.0,0.0,0.0
2023-08-21,6552.057206432578,-6393.840636857887,10117.009647631887,10275.226217206578,0.0,0.0,0.0,0.0
